"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate"
"Attachment Status","attachment_status","enumeration","","external_clips_information","false","Found; Missing; No Deal","true","false","true","false","false","false","Quantastic Management","Report (1)","92.94%"
"Available Ask First","available_ask_first","enumeration","","external_clips_information","true","Yes (true); No (false)","false","false","false","false","false","false","Quantastic Management","Report (3); Sales view (22); Properties v3 card (1); Association v3 card (1)","86.83%"
"Clip Mix Link 1","clip_mix_link_1","string","","external_clips_information","true","","false","false","false","false","false","false","Quantastic Management","Calculated property (1); Sales view (1)","4.71%"
"Clip Mix Link 10","clip_mix_link_10","string","","external_clips_information","true","","false","false","false","false","false","false","Quantastic Management","Calculated property (1)","0.01%"
"Clip Mix Link 2","clip_mix_link_2","string","","external_clips_information","true","","false","false","false","false","false","false","Quantastic Management","Calculated property (1); Sales view (1)","1.46%"
"Clip Mix Link 3","clip_mix_link_3","string","","external_clips_information","true","","false","false","false","false","false","false","Quantastic Management","Calculated property (1); Sales view (1)","0.64%"
"Clip Mix Link 4","clip_mix_link_4","string","","external_clips_information","true","","false","false","false","false","false","false","Quantastic Management","Calculated property (1)","0.3%"
"Clip Mix Link 5","clip_mix_link_5","string","","external_clips_information","true","","false","false","false","false","false","false","Quantastic Management","Calculated property (1)","0.17%"
"Clip Mix Link 6","clip_mix_link_6","string","","external_clips_information","true","","false","false","false","false","false","false","Quantastic Management","Calculated property (1)","0.1%"
"Clip Mix Link 7","clip_mix_link_7","string","","external_clips_information","true","","false","false","false","false","false","false","Quantastic Management","Calculated property (1)","0.05%"
"Clip Mix Link 8","clip_mix_link_8","string","","external_clips_information","true","","false","false","false","false","false","false","Quantastic Management","Calculated property (1)","0.04%"
"Clip Mix Link 9","clip_mix_link_9","string","","external_clips_information","true","","false","false","false","false","false","false","Quantastic Management","Calculated property (1)","0.02%"
"Clip Mix Links","clip_mix_links","string","","external_clips_information","false","","true","false","true","false","false","false","Quantastic Management","Report (1); Sales view (1); Properties v3 card (1); Association v3 card (1)","4.71%"
"Creator ID","creator_id","number","","external_clips_information","false","","true","false","true","false","false","false","Quantastic Management","Report (1)","99.56%"
"Creator Instagram","creator_instagram","string","","external_clips_information","true","","false","false","false","false","false","false","Quantastic Management","Automation platform flow (1); Flow action (1)","0.09%"
"Creator License Check","creator_license_check","enumeration","","external_clips_information","false","Yes (true); No (false)","true","false","true","false","false","false","Quantastic Management","Association table card (1)","98.65%"
"Creator License Type","creator_license_type","enumeration","","external_clips_information","false","Recurrent; Ask First; Limited Recurrency; Singular; Money Involved","true","false","true","false","false","false","Quantastic Management","","90.34%"
"Creator Main Link","creator_main_link","string","","external_clips_information","false","","true","false","true","false","false","false","Quantastic Management","Report (9); Association table card (1); Dashboard (1); Properties v3 card (1)","96.68%"
"Creator Name","creator_name","string","","external_clips_information","false","","true","false","true","false","false","false","Quantastic Management","Report (4); Association table card (1)","99.56%"
"Creator Notes","creator_notes","string","","external_clips_information","false","","true","false","true","false","false","false","Quantastic Management","","18.96%"
"Creator Owner","creator_owner","enumeration","","external_clips_information","false","","true","false","true","true","false","false","Quantastic Management","Report (6)","99.56%"
"Creator Status","creator_status","enumeration","","external_clips_information","false","To Contact; Contacted; Connected; Granted; Declined; Uncontactable; Not Existing Anymore; Discarded to Acquire","true","false","true","false","false","false","Quantastic Management","Sales view (2)","99.42%"
"Creator TikTok","creator_tiktok","string","","external_clips_information","true","","false","false","false","false","false","false","Quantastic Management","Automation platform flow (1); Flow action (1)","0.06%"
"Date Found","date_found","date","","external_clips_information","true","","false","false","false","false","false","false","Quantastic Management","Automation platform flow (1); Sales view (21); Properties v3 card (1)","98.38%"
"Duration","edited_duration","number","","external_clips_information","true","","false","false","false","false","false","false","Quantastic Management","Rollup property (1); Report (2); Sales view (22); Association table card (1); Properties v3 card (1)","70.85%"
