"Name","Internal name","Type","Description","Group name","Form field","Options","Read only value","Read only definition","Calculated","External options","Deleted","HubSpot defined","Created user","Usages","Fill rate"
"Ad impressions","ad_impressions","number","","video_projects_information","true","","false","false","false","false","false","false","Quantastic Management","Sales view (1)","67.47%"
"Average percentage viewed (%)","average_percentage_viewed____","number","","video_projects_information","true","","false","false","false","false","false","false","Quantastic Management","Sales view (1)","69.98%"
"Average view duration (min)","average_view_duration__min_","number","","video_projects_information","true","","false","false","false","false","false","false","Quantastic Management","Sales view (1)","69.98%"
"Clips Order","clips_order","string","","video_projects_information","false","","false","false","false","false","false","false","Quantastic Management","Properties v3 card (1)","0.97%"
"Duration (min)","duration__min_","number","","video_projects_information","true","","false","false","false","false","false","false","Quantastic Management","Sales view (1)","69.98%"
"Editing Notes","editing_notes","string","","video_projects_information","true","","false","false","false","false","false","false","Quantastic Management","","0.81%"
"Created by user ID","hs_created_by_user_id","number","The user who created this record. This value is set automatically by HubSpot.","video_projects_information","false","","true","true","false","true","false","true","HubSpot","Sales view (1)","99.11%"
"Object create date/time","hs_createdate","datetime","The date and time at which this object was created. This value is automatically set by HubSpot and may not be modified.","video_projects_information","false","","true","true","false","false","false","true","HubSpot","Rollup property (4); Sales view (11); Properties v3 card (1)","100%"
"Object last modified date/time","hs_lastmodifieddate","datetime","Most recent timestamp of any property update for this object. This includes HubSpot internal properties, which can be visible or hidden. This property is updated automatically.","video_projects_information","false","","true","true","false","false","false","true","HubSpot","","100%"
"Merged record IDs","hs_merged_object_ids","enumeration","The list of record IDs that have been merged into this record. This value is set automatically by HubSpot.","video_projects_information","false","","true","true","false","true","false","true","HubSpot","","0%"
"Record ID","hs_object_id","number","The unique ID for this record. This value is set automatically by HubSpot.","video_projects_information","false","","true","true","false","false","false","true","HubSpot","Rollup property (5); Report (5); Sales view (10); Properties v3 card (1)","100%"
"Record source detail 1","hs_object_source_detail_1","string","First level of detail on how this record was created.","video_projects_information","false","","true","true","false","false","false","true","HubSpot","Sales view (1)","90.8%"
"Record source detail 2","hs_object_source_detail_2","string","Second level of detail on how this record was created.","video_projects_information","false","","true","true","false","false","false","true","HubSpot","","0%"
"Record source detail 3","hs_object_source_detail_3","string","Third level of detail on how this record was created.","video_projects_information","false","","true","true","false","false","false","true","HubSpot","","0%"
"Record source","hs_object_source_label","enumeration","How this record was created.","video_projects_information","false","","true","true","false","true","false","true","HubSpot","Sales view (1)","100%"
"Shared teams","hs_shared_team_ids","enumeration","Additional teams whose users can access the record based on their permissions. This can be set manually or through Workflows or APIs.","video_projects_information","false","","false","true","false","true","false","true","HubSpot","","0%"
"Shared users","hs_shared_user_ids","enumeration","Additional users that can access the record based on their permissions. This can be set manually or through Workflows and APIs.","video_projects_information","false","","false","true","false","true","false","true","HubSpot","","0%"
"Updated by user ID","hs_updated_by_user_id","number","The user who last updated this record. This value is set automatically by HubSpot.","video_projects_information","false","","true","true","false","true","false","true","HubSpot","Sales view (1)","99.92%"
"Owner assigned date","hubspot_owner_assigneddate","datetime","The most recent timestamp of when an owner was assigned to this record. This value is set automatically by HubSpot.","video_projects_information","false","","true","true","false","false","false","true","HubSpot","","9.52%"
"Owner","hubspot_owner_id","enumeration","The owner of the object.","video_projects_information","false","","false","true","false","true","false","true","HubSpot","Sales view (1); Data highlights card (1); Properties v3 card (1)","9.52%"
"Owner's main team","hubspot_team_id","enumeration","The main team of the record owner. This value is set automatically by HubSpot.","video_projects_information","false","","true","true","false","true","false","true","HubSpot","","0%"
"Link","link","string","","video_projects_information","false","","true","false","true","false","false","false","Quantastic Management","Rollup property (1); Report (3); Sales view (2); Dashboard (1); Properties v3 card (1); Association v3 card (1)","97.74%"
"Name","name","string","","video_projects_information","true","","false","false","false","false","false","false","Unknown user","Object requirement (1); Report (4); Sales view (11); Data highlights card (1); Dashboard (2); Properties v3 card (1)","100%"
"Num of Creators","num_of_creators","number","","video_projects_information","false","","true","false","true","false","false","false","Quantastic Management","Sales view (1)","100%"
"Num of Deals","num_of_deals","number","","video_projects_information","false","","true","false","true","false","false","false","Quantastic Management","","100%"
"Num of External Clips","num_of_external_clips","number","","video_projects_information","false","","true","false","true","false","false","false","Quantastic Management","","100%"
"Num of Licenses without Document","num_of_licenses_without_document","number","","video_projects_information","false","","true","false","true","false","false","false","Quantastic Management","Sales view (1)","100%"
"Old CRM ID","old_crm_id","number","","video_projects_information","true","","false","false","false","false","false","false","Quantastic Management","Sales view (8); Properties v3 card (1)","89.91%"
"Old CRM Operastics Count","old_crm_operastics_count","number","","video_projects_information","true","","false","false","false","false","false","false","Quantastic Management","Sales view (8); Properties v3 card (1)","89.91%"
"Pub Date","pub_date","datetime","","video_projects_information","true","","false","false","false","false","false","false","Quantastic Management","Rollup property (1); Report (5); Sales view (6); Properties v3 card (1)","76.03%"
"Status","status","enumeration","","video_projects_information","true","Published; Deleted; Doing; Private; Trimmed","false","false","false","false","false","false","Quantastic Management","Rollup property (5); Report (7); Sales view (9); Data highlights card (1); Dashboard (1); Properties v3 card (1); Association v3 card (1)","99.92%"
"Sum of Clips Edited Duration","sum_of_clips_edited_duration","number","","video_projects_information","false","","true","false","true","false","false","false","Quantastic Management","","79.34%"
"Tag","tag","enumeration","","video_projects_information","true","Procreate; Halloween Treats; Photo Tips and Hacks; Classic; Harry Potter; Pottery; Lilo and Stitch; Shrek; Love; Miraculous Ladybug; LEGO; Anime; Halloween Makeup; Face Mask; Funniest People; Marvel; 3D Art; Art Tips and Hacks; Studio Ghibli; Art Things to do When Bored; Cakes; Cute Art; Wood; Food; D1; Experiments; Flowers; Art Tools; Pixar; Nintendo; Satisfying Art; Recycling; XXL Art; Khaby Lame; 3D Printer; Creative Women; Sponge Bob; Street Art; Calligraphy; Minecraft; Brand logo; Epoxy; Miniature Creations; Nail Art; Lego Rome D1; Bubble Tea; Demon Slayer; Shoe Makeovers; Outfits; Anime Tips and Hacks; Disney Princess; Crochet; Product; Doodle art; Pokemon; Hello Kitty; Cosplay; Jewelry; Illusions; Unexpected; Teen Room Makeover; Axolotl; Naruto; Mushrooms and Frogs; Christmas Crafts; Paper Flowers; Wicked; Pets; Halloween crafts; Real or Fake; Minions; Among us; Easy Clay; Sugar Art; Jelly cakes; Rainbow; Taylor Swift; Squishy Toys; Mind blowing Digital Art; Fantasy; Painting; Celebrity; Spooky Art; Snow; Paper Ideas; Realistic Food Polymer Clay D1; Skillful; Cartoon; Avatar; Halloween cupcakes and cakes; Hair; One Piece; Squid Game; Barbie; Fashion upcycling; Sonic; Capybara; Labubu; Toys; Metal; Inside Out; Sand; Chainsaw Man; Makeup; FNAF; Cardboard; Beads; The Rock; Phone Cases; Adventure Time; Creative Easy Skills; Disney; Crazy Art; Polymer clay; Tim Burton; Glass; Creative Amazing Skills; Hazbin Hotel; Makeup Hacks; Wednesday Addams; Toothless; Tufting; Oddly Satisfying; Star Wars; Party Decoration; IKEA hacks; Journal; Kpop; Hands Tips and Hacks; Snoopy; Trees Tips and Hacks; Simpson; Latte art; Designer on budget; Balloon; Birthday ideas; BTS; Cats; Bluey and Peppa Pig; Scrapbooking; Cute Food; Glow Art; Rainbow Cake; Luca; Halloween costumes; Spider man; Cake Tips and Hacks; Cute cakes; Videogames; Kirby; Marshmallow; Gift Wrapping; Pipe Cleaners; Sketchbook; Product Photo; Accessories; Sea Animals; Baymax; Toilet Paper; Encanto; Trust the Process; Chocolate creations; Stop Motion; Winnie the Pooh; Money Heist; Corn; Billie Eilish; AI art; Embroidery; Meme art; Rick and Morty; ASMR art; Tattoo ideas; School; Arcane; Coraline; Tie Dye; Van Gogh; Relaxing Art; Hyperrealistic; Best Friends; Nostalgic Art; Air Dry Clay; Candles; Super Mario; Football; Decorate on Budget; Stranger Things; Christmas Baking; Gift Cards; Books; Roblox; Zootopia; Magic; Gifts; Funny Animals; Fidget; Stationery","false","false","false","false","false","false","Quantastic Management","Report (2); Sales view (8); Data highlights card (1); Properties v3 card (1)","93.95%"
"Title","title","string","","video_projects_information","true","","false","false","false","false","false","false","Quantastic Management","Report (3); Sales view (2); Properties v3 card (1)","71.11%"
"Views","views","number","","video_projects_information","true","","false","false","false","false","false","false","Quantastic Management","Sales view (1)","69.98%"
"Views Perp","views_perp","number","","video_projects_information","true","","false","false","false","false","false","false","Quantastic Management","Sales view (1)","44.15%"
"WT Perp","wt_perp","number","","video_projects_information","true","","false","false","false","false","false","false","Quantastic Management","Rollup property (1); Sales view (1); Properties v3 card (1)","44.15%"
"YouTube Video ID","youtube_video_id","string","","video_projects_information","true","","false","false","false","false","false","false","Quantastic Management","Calculated property (1); Rollup property (1); Report (2); Sales view (9); Properties v3 card (1)","97.74%"
